MSG	9153610 TRIAL 16 START
MSG	9156295 DRIFTCORRECT LR LEFT  at 960,540  OFFSET 1.39 deg.  -7.3,62.9 pix.
MSG	9156295 DRIFTCORRECT LR RIGHT at 960,540  OFFSET 0.27 deg.  11.3,6.8 pix.
MSG	9157056 RECCFG P 500 2 1 
MSG	9157056 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	9157057 !MODE RECORD P 500 2 1
START	9157058 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	P	FILTER	2
9157182	  961.5	  522.1	 1262.0	  976.7	  504.9	 2005.0	.
9157184	  961.7	  521.7	 1264.0	  976.9	  504.6	 2005.0	.
MSG	9157185 DSP: FIXATION
9157186	  961.8	  521.8	 1266.0	  977.2	  504.4	 2005.0	.
9157188	  961.6	  521.7	 1266.0	  976.8	  504.6	 2004.0	.
9157190	  961.5	  521.2	 1272.0	  976.6	  504.8	 2004.0	.
9157192	  961.0	  520.6	 1272.0	  975.9	  505.0	 2003.0	.
9157194	  960.9	  520.6	 1270.0	  976.0	  505.2	 2003.0	.
9157196	  960.8	  520.5	 1270.0	  976.0	  505.7	 2002.0	.
9157198	  961.0	  520.7	 1270.0	  976.1	  505.4	 2002.0	.
9157200	  961.3	  520.8	 1271.0	  976.0	  505.4	 2003.0	.
9157202	  961.1	  520.9	 1270.0	  976.2	  505.6	 2005.0	.
9157204	  960.8	  521.1	 1270.0	  976.1	  505.7	 2006.0	.
9157206	  960.0	  521.4	 1269.0	  975.3	  506.6	 2007.0	.
9157208	  959.1	  525.3	 1266.0	  974.3	  506.9	 2007.0	.
9157210	  958.6	  525.4	 1266.0	  974.3	  508.7	 2010.0	.
9157212	  958.1	  526.6	 1266.0	  973.9	  508.8	 2010.0	.
9157214	  957.7	  528.1	 1262.0	  973.9	  510.1	 2005.0	.
9157216	  957.5	  528.8	 1262.0	  973.6	  511.2	 2005.0	.
9157218	  957.5	  529.4	 1262.0	  972.9	  511.0	 2005.0	.
9157220	  956.6	  529.8	 1257.0	  971.9	  511.1	 2005.0	.
9157222	  956.8	  530.2	 1257.0	  972.2	  511.2	 2005.0	.
9157224	  956.7	  530.4	 1257.0	  972.3	  511.5	 2006.0	.
9157226	  956.1	  530.5	 1257.0	  972.4	  511.3	 2006.0	.
9157228	  956.2	  530.6	 1257.0	  972.4	  511.7	 2005.0	.
9157230	  956.6	  530.7	 1256.0	  972.5	  512.2	 2005.0	.
9157232	  956.6	  530.7	 1256.0	  972.2	  512.6	 2004.0	.
9157234	  956.8	  530.8	 1256.0	  972.6	  512.7	 2003.0	.
9157236	  957.8	  530.5	 1255.0	  972.6	  512.7	 2001.0	.
9157238	  957.8	  530.3	 1254.0	  972.8	  512.8	 2000.0	.
9157240	  957.8	  529.6	 1254.0	  972.7	  513.0	 1999.0	.
9157242	  958.2	  529.0	 1257.0	  972.6	  513.2	 1999.0	.
9157244	  958.3	  528.6	 1260.0	  972.1	  512.9	 1997.0	.
9157246	  958.8	  527.4	 1262.0	  972.2	  512.5	 1997.0	.
9157248	  959.0	  526.7	 1263.0	  972.2	  512.4	 1997.0	.
9157250	  960.0	  526.0	 1264.0	  972.5	  512.4	 1997.0	.
9157252	  960.7	  525.7	 1267.0	  972.6	  511.9	 1996.0	.
9157254	  961.1	  525.4	 1267.0	  972.9	  512.0	 1996.0	.
9157256	  961.3	  524.7	 1267.0	  972.7	  511.8	 1996.0	.
9157258	  962.8	  524.0	 1270.0	  973.0	  512.0	 1996.0	.
9157260	  961.9	  523.9	 1270.0	  973.0	  512.0	 1996.0	.
9157262	  961.7	  523.8	 1271.0	  973.3	  511.8	 1997.0	.
9157264	  961.4	  522.7	 1271.0	  973.3	  511.4	 1998.0	.
9157266	  960.7	  522.7	 1271.0	  973.6	  511.3	 1998.0	.
9157268	  959.8	  522.6	 1271.0	  973.9	  511.1	 1999.0	.
9157270	  960.1	  522.7	 1271.0	  974.3	  511.1	 2000.0	.
9157272	  960.1	  522.6	 1272.0	  974.3	  510.6	 2001.0	.
9157274	  960.1	  522.2	 1276.0	  974.5	  510.8	 2001.0	.
9157276	  960.9	  521.8	 1277.0	  974.5	  510.2	 2002.0	.
9157278	  962.0	  521.2	 1277.0	  974.7	  509.7	 2005.0	.
9157280	  962.7	  520.5	 1277.0	  975.1	  509.7	 2005.0	.
9157282	  963.0	  520.6	 1276.0	  975.3	  509.7	 2005.0	.
9157284	  963.1	  520.2	 1277.0	  975.3	  509.6	 2005.0	.
9157286	  962.7	  519.8	 1278.0	  975.3	  509.7	 2005.0	.
9157288	  962.9	  519.7	 1281.0	  975.2	  509.7	 2005.0	.
9157290	  963.3	  520.0	 1280.0	  975.3	  509.3	 2005.0	.
9157292	  963.7	  519.5	 1282.0	  975.2	  509.5	 2005.0	.
9157294	  963.1	  519.7	 1284.0	  975.1	  509.7	 2005.0	.
9157296	  962.5	  519.6	 1284.0	  975.6	  509.2	 2004.0	.
9157298	  962.1	  519.6	 1286.0	  976.1	  509.4	 2004.0	.
9157300	  962.4	  519.6	 1286.0	  976.2	  509.1	 2004.0	.
9157302	  961.9	  519.7	 1286.0	  976.1	  509.5	 2004.0	.
9157304	  961.4	  519.6	 1286.0	  976.1	  509.9	 2003.0	.
9157306	  961.7	  519.7	 1285.0	  976.5	  509.9	 2005.0	.
9157308	  962.0	  518.4	 1284.0	  976.7	  509.8	 2005.0	.
9157310	  962.6	  518.7	 1284.0	  976.7	  509.4	 2005.0	.
9157312	  962.7	  518.8	 1283.0	  976.8	  509.5	 2005.0	.
9157314	  962.8	  518.8	 1283.0	  977.3	  508.9	 2004.0	.
