9167562,0,0,947.8,554.5,1160.0,949.1,515.1,1921.0
9167564,0,0,947.1,554.1,1160.0,949.3,514.9,1922.0
9167566,0,0,947.0,554.5,1160.0,949.6,514.6,1923.0
9167568,0,0,947.3,554.3,1160.0,949.6,514.7,1923.0
9167570,0,0,947.6,554.0,1160.0,949.5,514.7,1923.0
9167572,0,0,947.7,554.1,1161.0,949.4,514.8,1923.0
9167574,0,0,947.4,553.7,1160.0,949.3,514.6,1922.0
9167576,0,0,947.5,554.0,1160.0,949.4,514.9,1922.0
9167578,0,0,947.3,554.1,1161.0,949.1,514.5,1922.0
9167580,0,0,947.6,554.2,1160.0,949.2,514.4,1923.0
9167582,0,0,947.6,554.1,1161.0,948.8,514.1,1925.0
9167584,0,0,947.7,554.1,1162.0,948.5,514.2,1925.0
9167586,0,0,947.3,553.8,1163.0,948.3,514.1,1923.0
9167588,0,0,947.0,553.5,1164.0,948.3,514.3,1923.0
9167590,0,0,946.9,553.2,1164.0,948.3,514.2,1923.0
9167592,0,0,946.9,553.1,1164.0,948.4,514.2,1924.0
9167594,0,0,946.2,553.0,1165.0,948.4,513.5,1924.0
9167596,0,0,946.5,553.1,1166.0,948.3,512.8,1924.0
9167598,0,0,946.3,553.0,1166.0,948.3,512.8,1928.0
9167600,0,0,946.0,552.9,1166.0,948.0,512.7,1928.0
9167602,0,0,946.7,552.8,1166.0,947.8,513.1,1927.0
9167604,0,0,946.1,552.8,1165.0,946.9,513.5,1924.0
9167606,0,0,945.5,552.4,1165.0,946.8,512.9,1922.0
9167608,0,0,945.3,552.4,1165.0,946.9,513.3,1921.0
9167610,0,0,945.2,552.3,1165.0,946.8,513.5,1920.0
9167612,0,0,945.1,552.3,1165.0,947.0,513.9,1920.0
9167614,0,0,945.1,552.3,1167.0,947.0,514.0,1920.0
9167616,0,0,944.8,552.3,1165.0,947.0,514.1,1920.0
9167618,0,0,944.6,552.3,1165.0,947.1,514.0,1919.0
9167620,0,0,944.6,552.5,1165.0,947.2,514.1,1919.0
9167622,0,0,944.6,552.5,1165.0,947.3,513.3,1920.0
9167624,0,0,944.9,552.5,1165.0,947.2,513.3,1920.0
9167626,0,0,945.1,552.4,1165.0,947.1,513.0,1920.0
9167628,0,0,945.2,552.5,1165.0,947.1,512.7,1920.0
9167630,0,0,945.3,552.5,1166.0,947.1,512.8,1920.0
9167632,0,0,945.1,552.5,1165.0,947.0,512.6,1920.0
9167634,0,0,945.0,552.4,1166.0,947.1,512.3,1921.0
9167636,0,0,942.8,552.4,1166.0,946.9,512.5,1921.0
9167638,0,0,942.9,551.8,1166.0,946.7,512.2,1921.0
9167640,0,0,943.0,551.9,1167.0,946.7,511.9,1920.0
